חותמת זמן,מתייג ,מספר תיק ,הודאה,מספר עבירה,סוג העבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,חרטה,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה מרדף,מתחם ענישה - מאשימה ,מתחם ענישה - שופט ,עונש,הערות ומחשבות,סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר]
25/02/2024 11:40:44,איתי,49530-03-15,כן,,החזקה נשק,,,,1,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית + מחסנית ובה 9 כדורים,"מוסלק - מוסתר, סמוך לבית",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,24 - 48 חודשים,10 - 20 חודשים,10 חודשים,אין אזכור ל 144 א או ב,,
25/02/2024 11:21:01,רותם,54879-08-16,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 7 כדורים,"על גופו, סמוך לבית",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 4.5 שנים,12 - 36 חודשים,16 חודשים,,,
25/02/2024 16:39:33,איתי,49772-11-16,כן,144 א,החזקה נשק,גניבה,,,,,,,,,,,,,,כן,גנב,,תקין,לא,לא,,מוסלק - מוסתר,לא,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,20 - 42 חודשים,7 - 24 חודשים,7 חודשים,,,
25/02/2024 12:37:12,איתי,51828-02-14,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,,,,,,,,2,,,,לא,,,תקין,כן,לא,,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",,3 - 5 שנים,12 - 28 חודשים,6 חודשים,,,
18/02/2024 14:00:38,איתי,52091-02-20,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,20 כדורים,בבית,לא,,לא,לא נגרם נזק,לא,26 - 40 חודשים,18 - 36 חודשים,18 חודשים,,,
25/02/2024 10:53:04,ליאור,52091-02-20,כן,144 א,החזקה נשק,,,,1,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,20 כדורים,בבית,לא,,לא,לא נגרם נזק,לא,26 - 40 חודשים,18 - 36 חודשים,18 חודשים,,,
22/02/2024 10:43:19,רותם,59812-02-16,כן,144 ב,סחר בנשק,"מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק.",1,,,,,,,,,,,,,לא,עבודה,"8,000 שקל",תקין,כן,לא,"2 מחסניות, 20 כדורים",,כן,מימון סמים,לא,"נגרם נזק, פוטנציאל נזק גדול",לא,2 - 6 שנים; 6 - 18 חודשים,"18 - 36 חודשים; מאסר על תנאי ושל""צ - 1 שנים בפועל",6 חודשים בעבודות שירות,,,
22/02/2024 11:59:37,חן,59812-02-16,כן,144 ב,סחר בנשק,"מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק. שיבוש הליכי משפט, לפי סעיף 244 לחוק.",1,,,,,,,,,,,,,לא,עבודה,"8,000 שקל",תקין,כן,לא,"2 מחסניות, 20 כדורים",,כן,מימון סמים,לא,"נגרם נזק, פוטנציאל נזק גדול",לא,2 - 6 שנים; 6 - 18 חודשים,"18 - 36 חודשים; מאסר על תנאי ושל""צ - 1 שנים בפועל",6 חודשים בעבודות שירות,,,
18/02/2024 12:15:27,איתי,53169-10-13,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ריקה ובה 0 כדורים + 2 כדורים + 17 כדורים,"ברכב, על גופו",כן,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,12 - 36 חודשים,6 חודשים - 2.5 שנים,6 חודשים,,,
18/02/2024 14:24:16,רותם,613-04-17,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 15 כדורים,"ברכב, על גופו",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,10 - 30 חודשים,6 חודשים בעבודות שירות,,,
18/02/2024 14:26:45,חן,613-04-17,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 15 כדורים,"ברכב, על גופו",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2 - 4 שנים,10 - 30 חודשים,6 חודשים בעבודות שירות,,,
25/02/2024 09:30:59,רותם,62597-10-17,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,כן,,,תקין,כן,לא,מחסנית וכדורים,על גופו,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,20 - 48 חודשים,6 - 30 חודשים,6 חודשים בעבודות שירות,,,
25/02/2024 14:05:02,חן,62597-10-17,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,כן,,,תקין,כן,לא,"מחסנית, כדורים",על גופו,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,20 - 48 חודשים,6 - 30 חודשים,6 חודשים בעבודות שירות,,,
22/02/2024 12:05:22,רותם,62688-01-20,כן,144 ב,"נשיאת נשק, הובלת נשק","חבלה בכוונה מחמירה - עבירה לפי סעיף 329 (א)(1) לחוק העונשין; החזקת סם מסוכן לצריכה עצמית - עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,"ברכב, על גופו",כן,סכסוך,"כן,ירי","נגרם נזק רב, פוטנציאל נזק גדול",לא,5 - 8 שנים,2.5 - 5 שנים,30 חודשים,,,
22/02/2024 14:41:13,חן,62688-01-20,כן,144 ב,"נשיאת נשק, הובלת נשק","חבלה בכוונה מחמירה - עבירה לפי סעיף 329 (א)(1) לחוק העונשין, התשל""ז-1977 (להלן: ""החוק""); החזקת סם מסוכן לצריכה עצמית - עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,"ברכב, על גופו",כן,סכסוך,"כן,ירי","נגרם נזק רב, פוטנציאל נזק גדול",לא,5 - 8 שנים,2.5 - 5 שנים,30 חודשים,,,
22/02/2024 11:25:34,רותם,633-05-17,כן,"144 א, 144 ב","החזקה נשק, סחר בנשק",,2,,1,,,,,,,,,,,לא,רכש,"14,000 שקל",נשק מופרד מתחמושת,כן,לא,"2 מחסניות, מאות כדורים, 2 מחסניות ובהן 0 כדורים",מוסלק - מוסתר,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים; 6 חודשים של עבודות שירות - 6 חודשים; 10 - 24 חודשים,3 - 6 שנים,4 שנים,,,
22/02/2024 14:13:48,חן,633-05-17,כן,"144 א, 144 ב","החזקה נשק, סחר בנשק",,2,,1,,,,,,,,,,,לא,רכש,"14,000 שקל",נשק מופרד מתחמושת,כן,לא,"2 מחסניות, מאות כדורים, 2 מחסניות ובהן 0 כדורים",מוסלק - מוסתר,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים; 6 חודשים של עבודות שירות - 6 חודשים; 10 - 24 חודשים,3 - 6 שנים,4 שנים,,,
18/02/2024 14:01:31,רותם,64845-06-16,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,לא,לא,"מחסנית ובה 0 כדורים, 11 כדורים",ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
18/02/2024 14:08:21,חן,64845-06-16,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,לא,לא,"מחסנית ובה 0 כדורים, 11 כדורים",ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
19/02/2024 11:27:31,ליאור,53169-10-13,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ריקה ובה 0 כדורים + 2 כדורים + 17 כדורים,"ברכב, על גופו",כן,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,12 - 36 חודשים,6 חודשים - 2.5 שנים,6 חודשים,,,
18/02/2024 14:05:41,איתי,53615-01-19,כן,144 ב,"נשיאת נשק, הובלת נשק",          ירי מנשק חם באזור מגורים,,,1,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,מחסנית,"ברכב, על גופו",לא,תחושת חוסר אונים וצורך בקבלת עזרה חיצונית במצבו,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",כן,3 - 5 שנים,20 - 50 חודשים,27 חודשים,,,
25/02/2024 11:37:32,ליאור,53615-01-19,כן,144 ב,"נשיאת נשק, הובלת נשק",          ירי מנשק חם באזור מגורים,,,1,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,מחסנית,"ברכב, על גופו",לא,תחושת חוסר אונים וצורך בקבלת עזרה חיצונית במצבו,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",כן,3 - 5  שנים,20 - 50 חודשים,27 חודשים,,,
25/02/2024 14:16:15,איתי,54432-02-17,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ובה 7 כדורים,"ברכב, על גופו",כן,הגנה עצמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,10 - 30 חודשים,6 חודשים,,,
18/02/2024 13:44:18,איתי,54615-03-16,כן,144 ב,סחר בנשק,,,2,,,,,,,,,,,,כן,,"מכר ב 3,000 שקל",תקול,לא,לא,,,כן,בצע כסף,ניסיון לירי ללא הצלחה,"לא נגרם נזק, פוטנציאל נזק קטן",לא,3 - 7 שנים,20 - 40 חודשים,24 חודשים,,,
22/02/2024 16:03:50,ליאור,54615-03-16,כן,144 ב,סחר בנשק,,,2,,,,,,,,,,,,כן,,"מכר ב 3,000 שקל",תקול,לא,לא,,,כן,בצע כסף,ניסיון לירי ללא הצלחה,"לא נגרם נזק, פוטנציאל נזק קטן",לא,3 - 7 שנים,20 - 40 חודשים,24 חודשים,,,
18/02/2024 13:17:12,איתי,56385-11-16,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,גנב,,נשק עם כדור בקנה,לא,לא,,על גופו,לא,,לא,לא נגרם נזק,לא,1 - 3 שנים,9 - 30 חודשים,11 חודשים,"נטען, כי בנסיבות קלות יותר קבעו בתי המשפט מתחם עונש הולם הנע בין שנת מאסר לשלוש שנות מאסר, כאשר במקרה שלפנינו, יש לקבוע מתחם גבוה במעט מאותו מתחם שנקבע. התובע,",,
22/02/2024 14:28:46,ליאור,56385-11-16,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,גנב,,נשק עם כדור בקנה,לא,לא,,על גופו,לא,,לא,לא נגרם נזק,לא,1 - 3 שנים,9 - 30 חודשים,11 חודשים,,,
18/02/2024 11:37:05,איתי,59260-03-16,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 14 כדורים,"ברכב, מחסן",כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 30 חודשים,12 חודשים,,,
19/02/2024 09:26:37,ליאור,59260-03-16,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 14 כדורים,"ברכב, מחסן",כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 48 חודשים,12 - 30 חודשים,12 חודשים,,,
25/02/2024 10:52:41,רותם,8097/01,כן,"144 א, 144 ב",,"עבירת מעשה פזיזות ורשלנות כהגדרתם בס""ק 338 (5) לחוק העונשין",,,,,,1,,,,,,,,לא,,,תקין,כן,לא,"כדורים, 2 מחסניות","בבית, על גופו",לא,,זריקת רימון,לא נגרם נזק,לא,,,,"אין מתחם ענישה, אין דברי המאשימה, אין עונש",,
25/02/2024 14:22:44,חן,8097/01,כן,"144 א, 144 ב",,"ועבירת מעשה פזיזות ורשלנות כהגדרתם בס""ק 338 (5) לחוק העונשין.",,,,,,1,,,,,,,,לא,,,תקין,כן,לא,"כדורים, 2 מחסניות","בבית, על גופו",לא,,זריקת רימון,לא נגרם נזק,לא,,,,500 שעות של עבודות שירות,,
22/02/2024 10:02:06,רותם,8987-11-14,כן,144 א,החזקה נשק,גניבה לפי סעיפים 384,1,,,,,,,,,,,,,כן,גנב,,תקול,כן,לא,,,לא,,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,12 - 30 חודשים,10 - 18 חודשים,4 חודשים בעבודות שירות,,,
22/02/2024 11:19:59,חן,8987-11-14,כן,144 א,החזקה נשק,"גניבה והחזקת נשק שלא כדין – לפי סעיפים 384 ו- 144(א) לחוק העונשין התשל""ז – 1977.",1,,,,,,,,,,,,,כן,גנב,,תקול,כן,לא,,,לא,,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,12 - 30 חודשים,10 - 18 חודשים,4 חודשים בעבודות שירות,,,
22/02/2024 09:18:49,רותם,9348-10-16,כן,144 ב,נשיאת נשק,,,,,,,,,,,1,,,,לא,מאחר,,נשק מופרד מתחמושת,כן,לא,75 כדורים,"בבית, ברכב",לא,לעורר את אביו,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,מאסר מותנה עד למאסר בפועל של מספר חודשים שירוצו בעבודות שירות,8 חודשים על תנאי,העונש הינו 8 חודשים על תנאי ולא בפועל.,,
22/02/2024 10:50:49,חן,9348-10-16,כן,144 ב,נשיאת נשק,,,,,,,,,,,1,,,,לא,גנב,,נשק מופרד מתחמושת,כן,לא,75 כדורים,"בבית, ברכב",לא,לעורר את אביו,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,מאסר מותנה עד למאסר בפועל של מספר חודשים שירוצו בעבודות שירות,8 חודשים על תנאי,,,
22/02/2024 16:24:18,רותם,9349-05-09,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 0 כדורים, 26 כדורים",בבית,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,8 - 12 חודשים,,6 חודשים בעבודות שירות,"אין מתחם ענישה של השופט. 
השופט נותן לנאשם לבחור אם לרצות את העונש בדרך של עבודות שירות",,
25/02/2024 13:59:10,חן,9349-05-09,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,"מחסנית ובה 0 כדורים, 26 כדורים",בבית,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,8 - 12 חודשים,,6 חודשים בעבודות שירות,,,
19/02/2024 11:27:03,איתי,60805-07-19,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ובה 10 כדורים,"ברכב, מוסלק - מוסתר",לא,,לא,לא נגרם נזק,לא,18 - 40 חודשים,15 - 30 חודשים,18 חודשים,,,
25/02/2024 14:48:01,חן,16192-05-09,כן,144 ב,"נשיאת נשק, הובלת נשק",,,1,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 10 כדורים,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,,,20 חודשים,,,
25/02/2024 14:56:41,חן,54879-08-16,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,כן,לא,מחסנית ובה 7 כדורים,"על גופו, סמוך לבית",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 4.5 שנים,12 - 36 חודשים,16 חודשים,,,
25/02/2024 15:09:50,חן,398-09-16,כן,144 ב,נשיאת נשק,"חבלה חמורה בנסיבות מחמירות, עבירה לפי סעיף 333 + 335(א)(2+1) לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"");",1,,,,,,,,,,,,,כן,,,נשק עם כדור בקנה,כן,לא,,על גופו,כן,סכסוך,"כן,ירי","נגרם נזק, פוטנציאל נזק גדול",לא,2 - 6 שנים,24 - 48 חודשים,36 חודשים,,,
25/02/2024 17:16:00,ליאור,60805-07-19,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,לא,לא,מחסנית ובה 10 כדורים,"ברכב, מוסלק - מוסתר",לא,,לא,לא נגרם נזק,לא,18 - 40 חודשים,15 - 30 חודשים,18 חודשים,,,
25/02/2024 16:26:34,חן,5127/06,כן,144 א,החזקה נשק,"בעבירה של החזקת נכס חשוד כגנוב, עבירה לפי סעיף 413 לחוק העונשין.",1,,,,,,,,,,,,,כן,,,תקין,כן,לא,,ברכב,לא,,לא,לא נגרם נזק,לא,,,24 חודשים,,,
19/02/2024 10:48:55,איתי,65958-12-15,כן,144 א,החזקה נשק,,2,,1,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 8 כדורים + מחסנית ובה 15 כדורים + מחסנית ריקה ובה 0 כדורים + מחסנית ובה 6 כדורים,"בבית, מוסלק - מוסתר",כן,הגנה עצמית,לא,לא נגרם נזק,לא,3 - 5 שנים,18 - 36 חודשים,20 חודשים,,,
25/02/2024 14:33:13,ליאור,65958-12-15,כן,144 א,החזקה נשק,,2,,1,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית ובה 8 כדורים + מחסנית ובה 15 כדורים + מחסנית ריקה ובה 0 כדורים + מחסנית ובה 6 כדורים,"בבית, מוסלק - מוסתר",כן,הגנה עצמית,לא,לא נגרם נזק,לא,3 - 5 שנים,18 - 36 חודשים,20 חודשים,,,
25/02/2024 16:39:31,חן,35007-04-13,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,לא,,,נשק עם מחסנית בהכנס,כן,לא,,על גופו,כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,24 - 36 חודשים,7 - 30 חודשים,9 חודשים,,,
18/02/2024 13:50:20,איתי,6904-12-14,כן,144 ב,"נשיאת נשק, הובלת נשק",החזקת סם לצריכה עצמית,,,1,,,,,,,,,,,לא,רכש,"קנה ב 4,000 שקל",נשק מופרד מתחמושת,לא,לא,מחסנית,"בבית, על גופו, מוסלק - מוסתר",כן,הגנה עצמית,לא,לא נגרם נזק,לא,24 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
22/02/2024 16:35:12,ליאור,6904-12-14,כן,144 ב,"נשיאת נשק, הובלת נשק",החזקת סם לצריכה עצמית,,,1,,,,,,,,,,,לא,רכש,"קנה ב 4,000 שקל",נשק מופרד מתחמושת,לא,לא,מחסנית,"בבית, על גופו, מוסלק - מוסתר",כן,הגנה עצמית,לא,לא נגרם נזק,לא,24 - 48 חודשים,12 - 36 חודשים,18 חודשים,,,
18/02/2024 13:39:29,איתי,69158-11-16,כן,144 ב,נשיאת נשק ,ירי באזור מגורים,,1,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,מסחנית,"ברכב, מוסלק - מוסתר, סמוך לבית",לא,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,16 - 40 חודשים,17 חודשים,,,
25/02/2024 16:53:26,חן,1316-04-19,כן,144 ב,"סחר בנשק, ניסיון לסחר",,,,1,,,,,,,,,,,לא,מאחר,"מכר ב19,000 שקל",תקין,כן,כן,900 כדורים,ברכב,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,4 - 8 שנים,45 - 70 חודשים,45 חודשים,,,
22/02/2024 15:41:01,ליאור,69158-11-16,כן,144 ב,נשיאת נשק,ירי באזור מגורים,,1,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,מחסנית,"ברכב, מוסלק - מוסתר, סמוך לבית",כן,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 - 5 שנים,16 - 40 חודשים,17 חודשים,,,
29/02/2024 08:08:10,רותם,31218-10-14,כן,144 א,החזקה נשק,,,,,,,,1,,,,,,,כן,,,תקין,כן,לא,,על גופו,לא,,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק קטן",לא,10 - 20 חודשים,8 - 20 חודשים,9 חודשים,,,
29/02/2024 08:23:51,רותם,43085-06-21,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה' בחוק העונשין; נהיגה ללא רישיון נהיגה, לפי סעיף 10(א) בפקודת התעבורה, התשכ""א – 1961; ונהיגה ללא פוליסת ביטוח בתוקף, לפי סעיף 2(א) ו – (ב) בפקודת ביטוח רכב מנועי",1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,,ברכב,כן,סכסוך,"כן,ירי","נגרם נזק מועט, פוטנציאל נזק גדול",לא,5 - 8 שנים,4 - 7 שנים,5 שנים,,,
22/02/2024 13:53:04,איתי,72146-11-20,כן,144 ב,"נשיאת נשק, הובלת נשק",ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333 + 335(א)(1) + סעיף 25 לחוק העונשין; שיבוש מהלכי משפט לפי סעיף 244 לחוק העונשין והפרעה לשוטר בשעת מילוי תפקידו לפי סעיף 275 לחוק העונשין.,1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,מחסנית,על גופו,כן,סכסוך,"כן,ירי",פוטנציאל נזק גדול,כן,5 - 7 שנים,3 - 5 שנים,3.5 שנים,,,
29/02/2024 09:15:47,רותם,29529-07-20,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,2 מחסניות,ברכב,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,1.5 - 4 שנים,18 - 40 חודשים,9 חודשים,,,
29/02/2024 15:00:23,ליאור,72146-11-20,כן,144 ב,"נשיאת נשק, הובלת נשק","ניסיון לחבלה חמורה בנסיבות מחמירות ,שיבוש מהלכי משפט ,הפרעה לשוטר בשעת מילוי תפקידו",1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",כן,5 - 7 שנים,3 - 5 שנים,5 שנים,,,
29/02/2024 09:57:46,חן,19242-04-17,כן,144 א,החזקה נשק,,,,,,,,,,,,,,,כן,מאחר,,תקין,לא,לא,2 מחסניות,"בבית, מוסלק - מוסתר",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,30 - 48 חודשים,20 - 40 חודשים,20 חודשים,,1,
29/02/2024 10:07:23,חן,35227-05-17,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,כן,,,נשק עם מחסנית בהכנס,כן,לא,מחסנית,ברכב,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,2.5 - 5 שנים,12 - 36 חודשים,15 חודשים,,,
25/02/2024 16:31:51,ליאור,7434-05-10,כן,144 א,החזקה נשק,,2,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,מחסנית,"בבית, מוסלק - מוסתר",לא,,לא,לא נגרם נזק,לא,,,4 חודשים עבודות שירות,"מאסר בפועל לתקופה שבין 5.5.10 ל-10.5.10, שבמהלכה שהה במעצר, וכן ארבעה חודשי מאסר בפועל לריצוי בדרך של עבודות שירות,",,
29/02/2024 10:13:37,רותם,13179-07-14,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי באזור מגורים, לפי סעיף 340א לחוק; שיבוש מהלכי משפט, לפי סעיף 244 לחוק; הפרת הוראה חוקית, לפי סעיף 287(א) לחוק; גניבה, לפי סעיף 384 לחוק; ואיומים, לפי סעיף 192 לחוק.",1,,,,,,,,,,,,,כן,מאחר,,נשק עם כדור בקנה,כן,לא,3 מחסניות,"בבית, על גופו",כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,1 - 3 שנים; 3 - 5 שנים,12 חודשים; 14 - 40 חודשים,24 חודשים,,,
29/02/2024 10:19:18,חן,31218-10-14,כן,144 א,החזקה נשק,,,,,,,,1,,,,,,,כן,,,תקין,כן,לא,,על גופו,לא,,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק קטן",לא,10 - 20 חודשים,8 - 20 חודשים,9 חודשים,,,
29/02/2024 10:29:29,חן,43085-06-21,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה' בחוק העונשין; נהיגה ללא רישיון נהיגה, לפי סעיף 10(א) בפקודת התעבורה, התשכ""א – 1961; ונהיגה ללא פוליסת ביטוח בתוקף, לפי סעיף 2(א) ו – (ב) בפקודת ביטוח רכב מנועי [נוסח משולב] תש""ל – 1970.",1,,,,,,,,,,,,,לא,,,נשק עם כדור בקנה,כן,לא,,ברכב,כן,סכסוך,"כן,ירי","נגרם נזק מועט, פוטנציאל נזק גדול",לא,5 - 8 שנים,4 - 7 שנים,5 שנים,,,
29/02/2024 10:34:50,רותם,53539-11-17,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,כן,,,נשק מופרד מתחמושת,לא,לא,"מחסנית ובה 0 כדורים, 28 כדורים",בבית,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 - 36 חודשים,6 - 18 חודשים,10 חודשים,"עוד הנאשם החזיק בביתו שני קליעי ספוג, אקדח אויר, אגרופן וכן סכין קומנדו.
הנאשם החזיק בנשק לצרכי הגנה עצמית מה גם שטענה זו לא הוכחה",,
29/02/2024 10:40:17,חן,29529-07-20,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,לא,,,נשק מופרד מתחמושת,כן,לא,2 מחסניות,ברכב,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,1.5 - 4 שנים,18 - 40 חודשים,9 חודשים,,,
